http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	jrk_template	Phylum	Class	Order	Family	GENUS	COMMENT on genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L22	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Leotiomycetes	Leotiomycetes order incertae sedis	Leotiomycetes family incertae sedis	Clavidisculum		litter_saprotroph					leaf/fruit/seed					filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L23	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11121	Ascomycota	Sordariomycetes	Amphisphaeriales	Sporocadaceae	Heterotruncatella		plant_pathogen				leaf/fruit/seed_pathogen						filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L24	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11128	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriales family incertae sedis	Neoleptosporella		wood_saprotroph					wood					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L25	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11133	Ascomycota	Sordariomycetes	Delonicicolales	Delonicicolaceae	Furfurella		wood_saprotroph					wood					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L26	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11134	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Capillaureum		plant_pathogen	wood_saprotroph			wood_pathogen	wood					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L27	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11135	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysomorbus		plant_pathogen	wood_saprotroph			wood_pathogen	wood					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L28	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Eriocamporesia		plant_pathogen	wood_saprotroph			wood_pathogen	wood					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L29	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11140	Ascomycota	Sordariomycetes	Diaporthales	Neomelanconiellaceae	Neomelanconiella		plant_pathogen	litter_saprotroph			leaf/fruit/seed_pathogen	leaf/fruit/seed				Combretum	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L30	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11177	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Neomyrmecridium		litter_saprotroph					leaf/fruit/seed					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L31	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11178	Ascomycota	Sordariomycetes	Myrmecridiales	Xenodactylariaceae	Xenodactylaria		litter_saprotroph					leaf/fruit/seed					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L32	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11185	Ascomycota	Sordariomycetes	Xenospadicoidales	Xenospadicoidaceae	Pseudodiplococcium		litter_saprotroph					leaf/fruit/seed					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L33	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Adustochaete		wood_saprotroph					wood		non-aquatic			filamentous_mycelium	corticioid	hydnoid				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L34	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Metulochaete		wood_saprotroph					wood		non-aquatic			filamentous_mycelium	corticioid	hydnoid				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L35	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Proterochaete		wood_saprotroph					wood		non-aquatic			filamentous_mycelium	corticioid	other				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L36	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Psilochaete		wood_saprotroph					wood					filamentous_mycelium	tremelloid	smooth				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L37	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales family incertae sedis	Pekloderma	synonym of Kurtia	wood_saprotroph	ericoid_mycorrhizal				wood		non-aquatic			filamentous_mycelium	corticioid	smooth				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L38	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11219	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Geesterania		wood_saprotroph					wood		non-aquatic			filamentous_mycelium	polyporoid	poroid				
